Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Stress_Level,Gender,Grades
47,5.1,3.7,7.1,5.8,2.3,Low,Female,6.5
48,9.3,1.3,5.8,3.3,4.3,High,Male,7.72
49,9.7,2.8,7.9,0.3,3.3,High,Female,8.68
50,9.4,3,8.5,2.2,0.9,High,Female,7.95
51,6.8,1.2,9,4.9,2.1,Moderate,Male,7.8
52,9,2.6,8.5,3.1,0.8,High,Female,10
53,9.5,1.4,6.9,0.6,5.6,High,Male,8.32
54,7.3,2.2,6.4,3.5,4.6,Moderate,Female,7.78
55,5.2,0.1,9.1,2.2,7.4,Low,Male,6.98
56,8.8,0.9,8.1,0.5,5.7,High,Female,7.75
57,5.3,2.1,7.7,3.8,5.1,Low,Female,5.98
58,9,1.1,7.2,0.5,6.2,High,Male,8.48
59,5.1,3.9,9.2,4,1.8,Low,Male,6.3
60,5.8,1,7.7,4.3,5.2,Low,Male,7
61,8.3,1.1,9.8,3.5,1.3,High,Male,9.18
62,7.1,1,6.8,4.5,4.6,Moderate,Male,8.18
63,5.1,0.5,5.2,0.2,13,High,Male,7.12
64,7.4,0.4,7.5,2.8,5.9,Moderate,Male,8.15
65,5.9,1.7,7,3.7,5.7,Low,Male,7
66,6.9,2.5,7.5,5.1,2,Moderate,Female,7.65
67,8.3,0.7,5.4,3.9,5.7,High,Female,8.15
68,9.7,2.3,6.9,3.3,1.8,High,Male,8.45
69,7.3,2.2,9.7,1.9,2.9,Moderate,Female,7.88
70,5.4,1.3,9.2,0.1,8,Low,Female,6.72
71,9.1,1.1,5.6,4.2,4,High,Female,8.85
72,8.7,3.2,6.4,1,4.7,High,Female,8.43
73,8.8,3.2,10,0.8,1.2,High,Male,8.95
74,6.7,3.7,9.3,1.8,2.5,Moderate,Female,7.22
75,8.8,3,5.5,5.4,1.3,High,Male,8.95
76,6.6,3.6,6.9,0.1,6.8,Moderate,Female,7.48
77,9.5,0.4,6.6,5.7,1.8,High,Female,8.6
78,8.2,1.8,6.5,2,5.5,High,Female,8.38
79,8.4,3,9,2.8,0.8,High,Male,8.15
80,5.3,2.2,7.2,5.3,4,Low,Female,6.55
81,6.8,0.5,5.7,4.6,6.4,High,Male,7.15
82,5.4,2.8,5.4,4.9,5.5,High,Female,7.15
83,8.5,0.3,5.4,5.9,3.9,High,Male,7.48
84,9.1,3.8,9.9,0.9,0.3,High,Female,7.7
85,6.9,0.3,8.9,3.4,4.5,Moderate,Male,8.02
86,5.6,2,5.1,2.8,8.5,High,Male,7.02
87,5.3,0.5,5.6,3.9,8.7,High,Female,7.25
88,9.8,1.5,6.4,5.2,1.1,High,Male,9.45
89,6.1,3.9,5.1,5.8,3.1,High,Female,7.4
90,5.4,2.2,9.8,3.1,3.5,Low,Female,7.02
91,8.1,2.8,7.3,3.6,2.2,High,Female,8.48
92,5.2,1.1,9.8,5.3,2.6,Low,Female,7.05
93,7.3,2.5,6.4,1.1,6.7,Moderate,Female,6.68
94,7.9,0.3,9.9,5.8,0.1,Moderate,Female,7.7
95,8.5,2.1,6.5,4.9,2,High,Female,7.75
96,9.6,3.3,9.7,1,0.4,High,Female,8.85
97,8.1,1.7,9.7,3.9,0.6,High,Female,8.62
98,9.9,0.6,8,2.1,3.4,High,Female,8.48
99,9.8,3.4,9.2,0.7,0.9,High,Female,7.88
100,5.3,3.5,9.1,6,0.1,Low,Male,6.7
101,10,2.2,8.8,2.8,0.2,High,Male,8.52
102,7.3,0.5,9.8,3.6,2.8,Moderate,Female,8.05
103,6.1,2.7,8.1,2.1,5,Moderate,Female,7.45
104,7.6,3.1,7.6,4.9,0.8,Moderate,Female,7.48
105,7.8,2.2,9.4,1.9,2.7,Moderate,Female,8.25
106,8.5,0.9,5.7,0.1,8.8,High,Female,8.88
107,6.8,2.4,7,2.6,5.2,Moderate,Female,7.42
108,7.6,3.1,7,3.7,2.6,Moderate,Female,8.2
109,9.3,3.8,5.7,4.8,0.4,High,Female,7.62
110,7.3,3.9,7.5,1.7,3.6,Moderate,Male,7.7
111,8.2,1,5.4,0.8,8.6,High,Female,8.25
112,5.9,1.4,9.5,2.8,4.4,Low,Male,6.75
113,8.3,0.7,6,0.2,8.8,High,Female,7.85
114,5.9,0.4,5.6,2.8,9.3,High,Female,6.82
115,6,1.5,7.5,4.1,4.9,Moderate,Male,6.9
116,9.4,3.7,5.3,1.6,4,High,Female,8.62
117,9,3,5.9,1.3,4.8,High,Male,8.22
118,8.1,1.5,7.3,4.5,2.6,High,Female,6.88
119,5.2,1,8.6,5.4,3.8,Low,Female,8.5
120,5.5,1.8,7.7,1.5,7.5,Low,Male,7.62
121,6.3,1.5,5.1,1.9,9.2,High,Female,7.05
122,5.6,3.6,8,4.1,2.7,Low,Male,6.55
123,8.9,2,5.4,3.2,4.5,High,Female,9.1
124,7.2,0.5,6.4,2.2,7.7,Moderate,Male,7.98
125,8.2,2.3,6.8,5.9,0.8,High,Male,7.38
126,5.5,0.6,6.2,1,10.7,Low,Female,7.35
127,5.9,1.1,5.9,5.4,5.7,High,Female,7.22
128,7.1,3.9,5.6,2.4,5,High,Male,7.25
129,9.8,3.5,9.1,0.4,1.2,High,Female,8.93
130,9.6,2.2,7.9,1.2,3.1,High,Female,8.1
131,8.8,0.7,6.6,2.6,5.3,High,Female,7.48
132,5.6,2.4,6.4,3.5,6.1,Low,Male,7.12
133,5.8,1.9,7.7,0.3,8.3,Low,Male,6.75
134,5.3,4,6.6,4.9,3.2,Low,Male,6.8
135,6.3,2.7,8.8,3.6,2.6,Moderate,Male,6.12
136,6.7,3.7,9.2,4.2,0.2,Moderate,Male,7.12
137,5.6,2.9,9.7,1.1,4.7,Low,Male,7.15
138,7.9,3.4,5.7,4.8,2.2,High,Male,7.88
139,6,0.7,5.8,4.9,6.6,High,Male,7.4
140,6.8,3.5,7,4.9,1.8,Moderate,Male,8.6
141,7.2,1.5,7.3,1.8,6.2,Moderate,Female,7.7
142,6.2,3.6,6.9,3.3,4,Moderate,Male,8.18
143,9.5,2.5,5.6,5.6,0.8,High,Female,7.82
144,5.7,3.2,8.1,3.2,3.8,Low,Female,7.7
145,9.5,3.2,5.8,1.7,3.8,High,Female,8.98
146,5.2,2.3,8.8,5.3,2.4,Low,Male,6.52
147,6.7,3.3,5.6,5.1,3.3,High,Male,7.38
148,9,0.6,6.1,4.3,4,High,Male,7.88
149,8.6,2.6,8.5,2.3,2,High,Male,7.85
150,5.9,3.6,7.9,2.4,4.2,Low,Female,6.6
151,7.3,3.8,5.8,3.5,3.6,High,Male,8.95
152,5.1,3.5,9.7,3.2,2.5,Low,Male,6.98
153,8.5,3.7,8.5,0.5,2.8,High,Male,9.12
154,7.1,2.9,9.7,4,0.3,Moderate,Male,8.32
155,7.3,0.5,9.9,5,1.3,Moderate,Male,7.78
156,8,1.6,5.3,2,7.1,High,Female,8.55
157,9,0,6.7,2.4,5.9,High,Male,8.78
158,6.7,1.4,8.7,2.7,4.5,Moderate,Female,7.55
159,6.1,1.8,5.7,1.1,9.3,High,Male,5.95
160,9.6,1.4,7.9,3.2,1.9,High,Female,8.57
161,5.1,2.7,5.9,5.8,4.5,High,Male,6.78
162,5.4,4,7.5,3.6,3.5,Low,Male,6.48
163,5.3,3,6,5.4,4.3,Low,Female,6.7
164,5.2,1.9,7.8,0.4,8.7,Low,Female,6.68
165,8.9,1.8,7.6,2.5,3.2,High,Female,8.95
166,5.8,0.7,9.3,5.7,2.5,Low,Male,6.15
167,6.9,1.1,8.2,2.5,5.3,Moderate,Female,8.05
168,5.1,0.9,6.2,4,7.8,Low,Male,7.55
169,5.1,0.4,9,1.1,8.4,Low,Male,6.3
170,5.5,1,8.6,5.1,3.8,Low,Female,7.42
171,9.2,1.6,8.3,1,3.9,High,Female,8.75
172,5.1,0.3,6,0.2,12.4,Low,Male,6.75
173,5.9,2.3,7.1,5.4,3.3,Low,Male,6.95
174,6.3,1.5,8,1.6,6.6,Moderate,Female,7.88
175,8.1,1.6,7.8,2.6,3.9,High,Female,8.15
176,8.8,0.6,9.3,2.6,2.7,High,Female,8.25
177,9.5,3.2,7.1,0.1,4.1,High,Male,8.72
178,8.2,1,5.7,5,4.1,High,Male,7.22
179,9.9,2.1,5.9,1.6,4.5,High,Male,8.8
180,6.4,2.2,8.3,5,2.1,Moderate,Male,6.9
181,6,0,5.7,5.4,6.9,High,Male,7.38
182,8,2.7,5.9,5.5,1.9,High,Male,8.5
183,7.1,1.5,7.6,0.3,7.5,Moderate,Female,7.92
184,5.4,2.4,6.2,2.3,7.7,Low,Male,6.65
185,6.4,1.4,8.6,1.8,5.8,Moderate,Male,6.92
186,8.3,3.7,8.7,0.7,2.6,High,Male,9.43
187,5.2,1,8,0.3,9.5,Low,Female,8.22
188,6.7,3.1,5.5,0.5,8.2,High,Male,7.48
189,8.6,2,8.4,2.2,2.8,High,Male,8.57
190,9,2.8,6.4,3.4,2.4,High,Female,8.1
191,6.8,0.4,9.6,0.8,6.4,Moderate,Male,7.52
192,5.9,2.2,9.4,4.4,2.1,Low,Male,7.52
193,9,2.6,8.5,3.3,0.6,High,Male,8.35
194,6.1,4,9.7,0.2,4,Moderate,Male,6.45
195,8.5,3.7,5.9,3.4,2.5,High,Male,7.65
196,9.6,3.9,9.7,0.4,0.4,High,Female,9.12
197,9.3,3.4,6.6,3.9,0.8,High,Female,8.52
198,6.2,0.5,5.4,4.2,7.7,High,Female,7.1
199,6.7,2.9,5.3,1.9,7.2,High,Male,8.22
200,6.6,2.5,9.4,3.4,2.1,Moderate,Male,7.58
201,6.2,0.1,9.4,0.1,8.2,Moderate,Male,7.38
202,9.7,3.2,10,0.4,0.7,High,Female,9.18
203,8.8,1.6,7.4,3.8,2.4,High,Male,8.07
204,7.1,3,6.2,0.7,7,Moderate,Male,8.4
205,6.8,1.1,6.5,1.4,8.2,Moderate,Female,7.52
206,6.9,2.7,6.1,5.7,2.6,Moderate,Male,7.7
207,8.9,0.4,7.1,5.3,2.3,High,Female,8.32
208,8.1,0.7,10,1.2,4,High,Female,8.38
209,9.7,2.6,8,1.9,1.8,High,Female,8.32
210,6.1,0.7,8.9,2.1,6.2,Moderate,Male,7.02
211,5.3,3.9,9.4,5,0.4,Low,Male,7.7
212,8.5,0.6,9.1,1.3,4.5,High,Male,7.9
213,6.1,2.1,8,3.5,4.3,Moderate,Male,6.98
214,9.4,3.8,9.3,1.2,0.3,High,Male,8.32
215,8.3,2.2,5.4,2.5,5.6,High,Male,7.42
216,8.6,2,5.4,1.3,6.7,High,Male,7.85
217,8.4,0.3,9.3,3,3,High,Female,9.43
218,9.1,1.4,8.4,2.9,2.2,High,Male,8.15
219,6.3,3.5,9,3.4,1.8,Moderate,Female,7.78
220,8.5,2.7,8.1,3.5,1.2,High,Male,8.45
221,5.8,3.5,9.4,0.2,5.1,Low,Male,7.1
222,6.7,3,5.8,4.9,3.6,High,Male,7.58
223,9.2,2,5,1.7,6.1,High,Female,8.55
224,8.2,1,8.2,3.2,3.4,High,Female,8.1
225,8.9,0.4,8.8,3.2,2.7,High,Female,8.3
226,8.2,3.7,5.5,5.6,1,High,Female,8.22
227,8.4,0.3,6.5,4.2,4.6,High,Male,8.22
228,6.7,2.5,5.2,5.2,4.4,High,Female,7.15
229,9.9,3.9,8.7,0.2,1.3,High,Male,9.5
230,8.4,1.8,6.4,6,1.4,High,Male,8.12
231,7.1,1.8,5.8,4.8,4.5,High,Female,7.15
232,5.4,2.7,8.3,1.6,6,Low,Female,7.38
233,9.8,0.6,7.2,5.7,0.7,High,Female,9.6
234,7,1.1,9.9,2.5,3.5,Moderate,Female,7.1
235,9.5,0.9,6.1,0.2,7.3,High,Female,7.92
236,9.3,1.9,9.8,0.6,2.4,High,Female,9.2
237,9.3,3.1,8.9,2.3,0.4,High,Female,8.8
238,5.7,0.1,9.6,3.7,4.9,Low,Female,7.8
239,9,1.9,5.6,0.8,6.7,High,Male,8.02
240,6,2,5.3,3.5,7.2,High,Female,8.15
241,6.3,3.2,6.6,2.7,5.2,Moderate,Female,7.12
242,8,1.2,8.5,5.2,1.1,Moderate,Male,6.8
243,8.9,0.2,7.4,0.6,6.9,High,Female,8.32
244,8.1,2.8,7.8,0.1,5.2,High,Male,7.45
245,6.6,2.1,5.4,2.1,7.8,High,Male,6.98
246,7.8,2.8,9,0.9,3.5,Moderate,Female,7.78
247,5.8,0.4,8.2,4.2,5.4,Low,Male,7.2
248,8.5,3.5,8.6,2.7,0.7,High,Male,7.88
249,6.7,3.3,5.4,5.4,3.2,High,Male,8.18
250,7.3,2.6,7.6,4.4,2.1,Moderate,Male,7.82
251,5.4,0.2,6.2,1,11.2,Low,Female,6.88
252,9.9,1.3,5.9,4.7,2.2,High,Male,8.93
253,8.3,2,7.8,4.2,1.7,High,Female,8.12
254,6,2.7,5.4,0.2,9.7,High,Male,7.3
255,6.3,1.9,9.3,4.4,2.1,Moderate,Male,7.12
256,6.7,1.5,9.9,0.2,5.7,Moderate,Male,8.3
257,9.3,2.3,7.2,3.8,1.4,High,Male,9.02
258,9.5,1.7,6.4,3.6,2.8,High,Female,8.55
259,9.6,0.8,8.1,3.5,2,High,Female,8.28
260,8.6,3.6,5.9,1.4,4.5,High,Male,8.43
261,9.9,0.7,9.3,2,2.1,High,Male,8.98
262,7.2,2.1,6.8,3.6,4.3,Moderate,Female,7.52
263,5.8,1.6,9.8,1.5,5.3,Low,Male,6.52
264,8.9,0.5,9.8,2.2,2.6,High,Male,8.93
265,6.2,0.3,5.8,3.1,8.6,High,Male,7.82
266,7.2,1,8.1,4.2,3.5,Moderate,Female,7.45
267,5.8,0.7,5.2,4.4,7.9,High,Female,7.02
268,9.2,3.2,7.9,3.2,0.5,High,Female,9.5
269,6,0.4,6.3,0.3,11,Moderate,Male,7.62
270,5.2,0.5,7.3,5.6,5.4,Low,Male,6.98
271,6.6,2,5.2,0.9,9.3,High,Female,7.92
272,7.3,2.1,7.4,4,3.2,Moderate,Female,7.9
273,5.7,0.1,6.5,4.2,7.5,Low,Female,7.45
274,9.8,0.4,8.4,2.4,3,High,Female,8.15
275,9.3,0.7,8.5,4.6,0.9,High,Male,8.57
276,7.5,2.5,9.3,2.7,2,Moderate,Female,8
277,5.2,3.7,8.4,4.1,2.6,Low,Male,7.28
278,7,2.6,5.5,3.9,5,High,Female,7.05
279,10,0.2,9.9,1.6,2.3,High,Male,8.9
280,7.8,3,9.4,1.5,2.3,Moderate,Female,8.12
281,6.6,2.7,9,4.3,1.4,Moderate,Female,7.32
282,9.1,0.5,7.7,0,6.7,High,Female,9.1
283,6.6,1.5,7,4.2,4.7,Moderate,Female,6.98
284,6.2,1.5,6.1,0.4,9.8,Moderate,Male,6.25
285,8,2.7,8.1,2.4,2.8,Moderate,Female,8.5
286,7.6,1.9,5.1,2,7.4,High,Male,7.7
287,6.9,1.6,7.9,3.2,4.4,Moderate,Male,8.28
288,9.1,2.9,9.8,0,2.2,High,Male,8.7
289,6,0,8.2,5.4,4.4,Moderate,Male,7.3
290,5.3,3.7,6.8,0.6,7.6,Low,Female,6.95
291,7.4,1,6.4,1.8,7.4,Moderate,Male,7.88
292,6.6,2.4,8.6,1.6,4.8,Moderate,Male,8.18
293,7.1,0.5,5.9,4.1,6.4,High,Male,7.72
294,8.5,0.4,7.8,1.5,5.8,High,Female,7.52
295,9.8,1.9,9,1.8,1.5,High,Female,8.75
296,9.8,2.4,9.1,2.4,0.3,High,Female,8.45
297,6.1,0.8,8.1,2.5,6.5,Moderate,Female,6.68
298,8.9,1.1,9.1,2.1,2.8,High,Male,8
299,8.3,0.4,8.1,2.7,4.5,High,Male,7.52
300,8.7,3.5,6.1,0.5,5.2,High,Female,8.43
301,5.1,2.6,8,3.3,5,Low,Male,6.62
302,8,2,9.9,0.6,3.5,Moderate,Male,7.32
303,8.5,1.6,7.1,4.3,2.5,High,Male,8.48
304,6.4,0.3,5.4,5.4,6.5,High,Female,8.22
305,6,1.3,6.1,2.1,8.5,Moderate,Female,7.28
306,5.3,3.2,6.2,3.2,6.1,Low,Male,6.6
307,9.4,2.6,7.7,1.4,2.9,High,Female,9.15
308,10,2.6,7.8,2.6,1,High,Female,8.15
309,7.3,0.2,7.8,5.7,3,Moderate,Female,8
310,6,2.1,5.5,2.7,7.7,High,Female,6.8
311,8.8,1.4,8.3,4.4,1.1,High,Female,7.75
312,10,3.7,7.7,2.2,0.4,High,Male,8.6
313,7.6,2.5,5.4,4.5,4,High,Female,7.92
314,8.9,2.8,5.2,1.8,5.3,High,Male,8.25
315,6.3,1.4,5.4,5.6,5.3,High,Male,6.45
316,7,1.8,8,3.1,4.1,Moderate,Female,7.88
317,9.6,2,10,2,0.4,High,Male,8.65
318,6.9,3.5,9.3,3.5,0.8,Moderate,Male,7.55
319,9,1.2,5.4,2.4,6,High,Male,8.65
320,6.7,3.9,8.2,4.3,0.9,Moderate,Female,7.08
321,5.7,3.4,9.6,2.6,2.7,Low,Female,7.82
322,5.9,2,7,0.9,8.2,Low,Male,7.5
323,6.8,0.3,5.1,0.8,11,High,Female,7.58
324,9.8,1.7,6.6,3,2.9,High,Female,8.95
325,7.2,0.4,8.2,1.3,6.9,Moderate,Female,8.48
326,5.8,0.2,8.9,2.8,6.3,Low,Female,7.78
327,5.3,4,5.3,4.2,5.2,High,Male,6.68
328,8.5,0.2,7.5,6,1.8,High,Male,8.02
329,9.1,2.5,6.5,3.7,2.2,High,Female,7.12
330,5.7,3.5,7.2,1.2,6.4,Low,Female,7.6
331,6.8,1.7,9.1,4.4,2,Moderate,Male,7.25
332,5.1,1,8.8,0.8,8.3,Low,Male,5.62
333,7.7,0.9,5.1,1.4,8.9,High,Female,7.88
334,5.5,2.2,7.3,5.1,3.9,Low,Male,7.35
335,5.5,2,5.8,1.9,8.8,High,Female,6.98
336,6.9,1.6,7.3,4.7,3.5,Moderate,Female,8.45
337,9.5,3.8,8.9,0.6,1.2,High,Male,8.25
338,6.3,3.4,5.2,5.4,3.7,High,Male,8.28
339,7.3,2.5,8.3,5.3,0.6,Moderate,Female,8.4
340,5.3,2.1,5.8,4.4,6.4,High,Female,7.78
341,7.6,2.7,5.2,0.5,8,High,Male,7.68
342,5.4,0,9.8,4.4,4.4,Low,Female,7.12
343,6.8,1.2,6.7,4.6,4.7,Moderate,Male,7.02
344,5.9,0.4,8.3,4.6,4.8,Low,Female,7.48
345,6.3,0.1,5.4,5.8,6.4,High,Male,7.85
346,8.1,1.5,6,0.7,7.7,High,Male,7.65
347,8.1,3.1,8.2,2.4,2.2,High,Male,7.72
348,9.9,2.4,7.9,2.8,1,High,Female,9.18
349,9.1,2.6,5.6,2,4.7,High,Female,7.9
350,7.2,2.5,9.7,1.1,3.5,Moderate,Male,6.72
351,5.6,0.8,9.4,3.9,4.3,Low,Female,7.52
352,9.3,3.4,9.6,0.4,1.3,High,Male,8.2
353,8.8,1.8,9.2,3.1,1.1,High,Male,8.62
354,5.9,2.2,9.9,5.6,0.4,Low,Female,7.8
355,5.2,0.7,5.7,4.4,8,High,Female,6.68
356,7.5,3.4,8.7,2.4,2,Moderate,Male,8.1
357,8,2,6.5,3.4,4.1,Moderate,Female,8.38
358,8.2,3,5.8,2.8,4.2,High,Female,8.28
359,5,1,8.6,6,3.4,Low,Male,6.78
360,9,0.8,7.8,4.4,2,High,Male,7.95
361,8.1,0.8,6.8,4.7,3.6,High,Female,7.98
362,8.8,0.1,8.7,1.2,5.2,High,Male,8.3
363,9.8,1.5,6.6,0.9,5.2,High,Male,9.02
364,10,1.5,7.2,3.8,1.5,High,Female,8.57
365,9.4,2.4,7,2.1,3.1,High,Male,7.75
366,9,0.4,7.9,2.9,3.8,High,Male,9
367,8.2,0.3,7.9,3.4,4.2,High,Female,9.1
368,8.4,3.2,6.3,5,1.1,High,Female,8.75
369,7.5,0.3,5.3,2,8.9,High,Male,8.15
370,8.9,2.1,7.2,0.9,4.9,High,Male,8.82
371,6.6,1.7,5.4,1.3,9,High,Female,8.22
372,10,3.7,8.2,0.9,1.2,High,Female,9.07
373,8.2,3.1,5.6,2.5,4.6,High,Female,7.9
374,7.9,2.4,5.9,2.2,5.6,High,Female,8.5
375,6.7,0.1,5.1,5,7.1,High,Male,7.58
376,6.5,3.8,6.3,2.6,4.8,Moderate,Female,6.55
377,9.4,3.4,5.9,4.3,1,High,Female,7.95
378,5.7,0.3,8.6,3,6.4,Low,Male,5.7
379,7.2,2.9,8.8,0.8,4.3,Moderate,Female,7.2
380,8.8,2.6,9.8,0.2,2.6,High,Male,8.45
381,5.3,1.1,6.3,1.5,9.8,Low,Female,6.88
382,6.4,3,7.2,4.7,2.7,Moderate,Female,7.58
383,5.3,2,5.2,0.4,11.1,High,Female,5.78
384,6.7,3.6,5.1,4,4.6,High,Male,7.95
385,9.8,2.2,9.7,0.1,2.2,High,Male,7.9
386,8.7,3.9,6.3,3.3,1.8,High,Female,8
387,6,2.3,7.3,5.8,2.6,Moderate,Male,6.45
388,5.6,0.6,6.1,1.5,10.2,Low,Male,7.68
389,9.3,2.2,7.6,0.6,4.3,High,Male,8.7
390,5.3,2.8,7.7,0.5,7.7,Low,Male,7.32
391,7.3,1.9,5.8,5.7,3.3,High,Male,7.95
392,7.3,1.6,8.3,3.3,3.5,Moderate,Male,8.2
393,5.3,2.1,9,2.8,4.8,Low,Female,6.68
394,5.8,1.3,8.8,3.1,5,Low,Female,6.78
395,6,3.5,9.4,4.4,0.7,Moderate,Male,7.1
396,9.9,3.1,5.1,0.4,5.5,High,Female,7.92
397,7.3,3.6,7.7,2.7,2.7,Moderate,Female,7.88
398,9.1,1.5,8.9,4.3,0.2,High,Female,8.02
399,6,2.1,6.4,4.8,4.7,Moderate,Female,8.18
400,9,1.6,9.6,2,1.8,High,Male,8.93
401,5.8,2.8,9,1.9,4.5,Low,Female,7
402,5.9,3.6,8.3,0.9,5.3,Low,Female,7
403,7.2,2.5,5.4,5.3,3.6,High,Male,7.7
404,9.8,1.7,9.9,1.7,0.9,High,Male,9.38
405,8.2,0.7,9.4,2.4,3.3,High,Female,8.68
406,8.6,3.6,5.4,4.4,2,High,Female,9.52
407,5.9,3.4,9.1,3,2.6,Low,Female,6.7
408,7.4,3.3,7.3,2.1,3.9,Moderate,Female,8.35
409,7.5,3.3,6.7,1,5.5,Moderate,Female,8.22
410,5.5,1,5.7,2.1,9.7,High,Female,7.32
411,7.3,3,8.3,3.4,2,Moderate,Male,8.22
412,7.4,3.9,8.2,0.6,3.9,Moderate,Female,7.55
413,8.4,1.3,8.4,0.4,5.5,High,Female,8.3
414,6.1,3.3,6.4,3.9,4.3,Moderate,Male,7.15
415,8.5,2.1,6.5,1.3,5.6,High,Male,8.45
416,9.4,3.1,8.9,1.7,0.9,High,Male,8.62
417,6.3,3.6,8.4,3.2,2.5,Moderate,Male,7.3
418,7.3,3.5,7.7,2.1,3.4,Moderate,Female,7.25
419,9.9,0.4,7.1,0.3,6.3,High,Female,8.88
420,6.4,3.4,6.5,5.5,2.2,Moderate,Female,7.5
421,8.8,3.2,5.1,5.8,1.1,High,Female,7.82
422,9.1,1.1,9.4,0.5,3.9,High,Female,8.95
423,8.5,2.2,5.5,1.5,6.3,High,Female,8.18
424,6.5,2.4,6.5,1.8,6.8,Moderate,Male,7.28
425,8.7,0.2,9.5,4.8,0.8,High,Female,8.75
426,9.5,0.7,5.4,1.4,7,High,Male,9.43
427,9,0.1,7.9,6,1,High,Male,8.4
428,5.3,3.3,8,0.7,6.7,Low,Female,7.58
429,5.5,3.6,8.3,5,1.6,Low,Male,7.15
430,7.6,1.7,6.6,2.6,5.5,Moderate,Female,8.35
431,8.9,2.4,9.5,1.4,1.8,High,Male,9.15
432,8,2.8,6.2,3.1,3.9,Moderate,Female,8.65
433,5.5,1.5,7.4,3.9,5.7,Low,Male,7.12
434,8.7,2,8.2,0.4,4.7,High,Female,8.55
435,6.3,1.4,7.4,0.3,8.6,Moderate,Female,7.15
436,9.9,1.3,7.4,1.1,4.3,High,Female,8.38
437,8.1,1.1,6,3.1,5.7,High,Female,7.88
438,9,2.3,7.6,1.5,3.6,High,Female,8
439,9.7,1.6,5.4,3.7,3.6,High,Male,8.48
440,7.5,3.5,7.5,3.9,1.6,Moderate,Male,7.42
441,10,0.5,6.4,2.4,4.7,High,Male,7.85
442,9.5,2.9,8,1.1,2.5,High,Female,7.78
443,9.1,3.8,9.1,0,2,High,Male,8.18
444,6.3,0.2,8,4.1,5.4,Moderate,Female,7.42
445,5.6,1.5,7.3,2.2,7.4,Low,Female,7
446,8.8,0.3,5.4,2.1,7.4,High,Male,7.8
447,9.7,2.7,8.4,1.2,2,High,Male,8.6
